,Substrate,AAM,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12
0,CC(=O)C=O,[At:7][H:15].[C:1]([C:4]([C:2](=[O:3])[H:20])=[O:5])([H:17])([H:18])[H:19].[H+:16].[N:6]([H:14])([H:21])[H:22]>>[At+:7].[C:1]([C:4]([C:2]([N:6]([H:21])[H:22])([H:15])[H:20])=[O:5])([H:17])([H:18])[H:19].[O:3]([H:14])[H:16],0,0,0,0,0,0,0,0,0,0,0,0
1,CC(C)C=O,[At:7][H:19].[C:1]([C:4]([C:2](=[O:3])[H:24])([C:5]([H:26])([H:27])[H:28])[H:25])([H:21])([H:22])[H:23].[H+:20].[N:6]([H:18])([H:29])[H:30]>>[At+:7].[C:1]([C:4]([C:2]([N:6]([H:29])[H:30])([H:19])[H:24])([C:5]([H:26])([H:27])[H:28])[H:25])([H:21])([H:22])[H:23].[O:3]([H:18])[H:20],1,1,1,1,1,1,1,1,1,1,1,1
2,CCCC(CCC)C=O,[At:11][H:31].[C:1](=[O:2])([C:3]([C:5]([C:9]([C:4]([H:35])([H:36])[H:37])([H:47])[H:48])([H:38])[H:39])([C:6]([C:7]([C:8]([H:44])([H:45])[H:46])([H:42])[H:43])([H:40])[H:41])[H:34])[H:33].[H+:32].[N:10]([H:30])([H:49])[H:50]>>[At+:11].[C:1]([C:3]([C:5]([C:9]([C:4]([H:35])([H:36])[H:37])([H:47])[H:48])([H:38])[H:39])([C:6]([C:7]([C:8]([H:44])([H:45])[H:46])([H:42])[H:43])([H:40])[H:41])[H:34])([N:10]([H:49])[H:50])([H:31])[H:33].[O:2]([H:30])[H:32],1,0,1,1,0,1,0,0,0,0,1,0
3,C1=CC=C(C=C1)C=O,[At:10][H:20].[H+:21].[N:9]([H:19])([H:28])[H:29].[c:1]1([H:22])[c:6]([H:25])[c:8]([H:27])[c:4]([C:2](=[O:3])[H:23])[c:5]([H:24])[c:7]1[H:26]>>[At+:10].[O:3]([H:19])[H:21].[c:1]1([H:22])[c:6]([H:25])[c:8]([H:27])[c:4]([C:2]([N:9]([H:28])[H:29])([H:20])[H:23])[c:5]([H:24])[c:7]1[H:26],1,0,0,0,0,0,0,0,0,0,0,0
4,CCCC(=O)C,[At:8][H:22].[C:1]([C:2](=[O:4])[C:6]([H:31])([H:32])[H:33])([C:3]([C:5]([H:28])([H:29])[H:30])([H:26])[H:27])([H:24])[H:25].[H+:23].[N:7]([H:21])([H:34])[H:35]>>[At+:8].[C:1]([C:2]([C:6]([H:31])([H:32])[H:33])([N:7]([H:34])[H:35])[H:22])([C:3]([C:5]([H:28])([H:29])[H:30])([H:26])[H:27])([H:24])[H:25].[O:4]([H:21])[H:23],0,0,0,0,0,0,0,0,1,0,1,0
5,CC(C)CC(=O)C,[At:9][H:25].[C:1]([C:5]([C:3]([C:2]([C:4]([H:33])([H:34])[H:35])([C:6]([H:36])([H:37])[H:38])[H:30])([H:31])[H:32])=[O:7])([H:27])([H:28])[H:29].[H+:26].[N:8]([H:24])([H:39])[H:40]>>[At+:9].[C:1]([C:5]([C:3]([C:2]([C:4]([H:33])([H:34])[H:35])([C:6]([H:36])([H:37])[H:38])[H:30])([H:31])[H:32])([N:8]([H:39])[H:40])[H:25])([H:27])([H:28])[H:29].[O:7]([H:24])[H:26],0,0,0,0,0,0,0,0,1,0,0,0
6,CCCC(=O)CC,[At:9][H:25].[C:1]([C:6]([C:3]([C:2]([C:5]([C:7]([H:36])([H:37])[H:38])([H:32])[H:33])([H:30])[H:31])=[O:4])([H:34])[H:35])([H:27])([H:28])[H:29].[H+:26].[N:8]([H:24])([H:39])[H:40]>>[At+:9].[C:1]([C:6]([C:3]([C:2]([C:5]([C:7]([H:36])([H:37])[H:38])([H:32])[H:33])([H:30])[H:31])([N:8]([H:39])[H:40])[H:25])([H:34])[H:35])([H:27])([H:28])[H:29].[O:4]([H:24])[H:26],0,0,0,0,0,0,0,0,0,0,0,0
7,C1CCC(=O)CC1,[At:9][H:23].[C:1]1([H:25])([H:26])[C:5]([H:29])([H:30])[C:7]([H:33])([H:34])[C:2]([H:27])([H:28])[C:3](=[O:4])[C:6]1([H:31])[H:32].[H+:24].[N:8]([H:22])([H:35])[H:36]>>[At+:9].[C:1]1([H:25])([H:26])[C:5]([H:29])([H:30])[C:7]([H:33])([H:34])[C:2]([H:27])([H:28])[C:3]([N:8]([H:35])[H:36])([H:23])[C:6]1([H:31])[H:32].[O:4]([H:22])[H:24],1,0,0,0,0,0,0,0,1,0,1,0
8,CC1CCCCC1=O,[At:10][H:26].[C:1]1([C:7]([H:35])([H:36])[H:37])([H:28])[C:2](=[O:3])[C:5]([H:31])([H:32])[C:8]([H:38])([H:39])[C:4]([H:29])([H:30])[C:6]1([H:33])[H:34].[H+:27].[N:9]([H:25])([H:40])[H:41]>>[At+:10].[C:1]1([C:7]([H:35])([H:36])[H:37])([H:28])[C:2]([N:9]([H:40])[H:41])([H:26])[C:5]([H:31])([H:32])[C:8]([H:38])([H:39])[C:4]([H:29])([H:30])[C:6]1([H:33])[H:34].[O:3]([H:25])[H:27],0,0,0,0,0,0,0,0,1,0,1,0
9,CC(=O)C1=CC=CC=C1,[At:11][H:23].[H+:24].[N:10]([H:22])([H:33])[H:34].[c:1]1([H:25])[c:3]([C:4](=[O:5])[C:7]([H:28])([H:29])[H:30])[c:2]([H:26])[c:9]([H:32])[c:8]([H:31])[c:6]1[H:27]>>[At+:11].[O:5]([H:22])[H:24].[c:1]1([H:25])[c:3]([C:4]([C:7]([H:28])([H:29])[H:30])([N:10]([H:33])[H:34])[H:23])[c:2]([H:26])[c:9]([H:32])[c:8]([H:31])[c:6]1[H:27],0,0,0,0,0,0,0,0,0,0,0,0
10,CC1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,[At:19][H:39].[C:1](=[O:4])([C:6]([c:8]1[c:9]([H:46])[c:11]([H:47])[c:14]([H:52])[c:15]([H:53])[c:17]1[H:56])([H:43])[H:44])[C:16]([c:3]1[c:2]([H:41])[c:12]([H:48])[c:10]([C:13]([H:49])([H:50])[H:51])[c:7]([H:45])[c:5]1[H:42])([H:54])[H:55].[H+:40].[N:18]([H:38])([H:57])[H:58]>>[At+:19].[C:1]([C:6]([c:8]1[c:9]([H:46])[c:11]([H:47])[c:14]([H:52])[c:15]([H:53])[c:17]1[H:56])([H:43])[H:44])([C:16]([c:3]1[c:2]([H:41])[c:12]([H:48])[c:10]([C:13]([H:49])([H:50])[H:51])[c:7]([H:45])[c:5]1[H:42])([H:54])[H:55])([N:18]([H:57])[H:58])[H:39].[O:4]([H:38])[H:40],0,0,0,0,0,0,0,0,0,0,0,0
11,CC(=O)CCC(=O)O,[At:10][H:22].[H+:23].[N:9]([H:21])([H:32])[H:33].[O:1]([C:2](=[O:3])[C:5]([C:8]([C:4](=[O:6])[C:7]([H:27])([H:28])[H:29])([H:30])[H:31])([H:25])[H:26])[H:24]>>[At+:10].[O:1]([C:2](=[O:3])[C:5]([C:8]([C:4]([C:7]([H:27])([H:28])[H:29])([N:9]([H:32])[H:33])[H:22])([H:30])[H:31])([H:25])[H:26])[H:24].[O:6]([H:21])[H:23],0,0,0,0,0,0,0,0,1,0,0,0
12,CC(=O)CC(=O)C,[At:9][H:21].[C:1]([C:2](=[O:6])[C:7]([H:28])([H:29])[H:30])([C:3](=[O:4])[C:5]([H:25])([H:26])[H:27])([H:23])[H:24].[H+:22].[N:8]([H:20])([H:31])[H:32]>>[At+:9].[C:1]([C:2]([C:7]([H:28])([H:29])[H:30])([N:8]([H:31])[H:32])[H:21])([C:3](=[O:4])[C:5]([H:25])([H:26])[H:27])([H:23])[H:24].[O:6]([H:20])[H:22],0,0,0,0,0,0,0,0,0,0,0,0
13,C1CCC(=O)C(=O)C1,[At:10][H:22].[C:1]1([H:24])([H:25])[C:2](=[O:3])[C:4](=[O:6])[C:8]([H:30])([H:31])[C:5]([H:26])([H:27])[C:7]1([H:28])[H:29].[H+:23].[N:9]([H:21])([H:32])[H:33]>>[At+:10].[C:1]1([H:24])([H:25])[C:2](=[O:3])[C:4]([N:9]([H:32])[H:33])([H:22])[C:8]([H:30])([H:31])[C:5]([H:26])([H:27])[C:7]1([H:28])[H:29].[O:6]([H:21])[H:23],0,0,0,0,0,0,0,0,0,0,1,0
14,C1CC2CC1CC2=O,[At:10][H:24].[C:1]12([H:26])[C:2](=[O:3])[C:5]([H:29])([H:30])[C:8]([H:35])([C:4]1([H:27])[H:28])[C:6]([H:31])([H:32])[C:7]2([H:33])[H:34].[H+:25].[N:9]([H:23])([H:36])[H:37]>>[At+:10].[C:1]12([H:26])[C:2]([N:9]([H:36])[H:37])([H:24])[C:5]([H:29])([H:30])[C:8]([H:35])([C:4]1([H:27])[H:28])[C:6]([H:31])([H:32])[C:7]2([H:33])[H:34].[O:3]([H:23])[H:25],0,0,0,0,0,0,0,0,0,0,0,0
15,CCC(C(=O)C)C(=O)OC,[At:12][H:28].[H+:29].[N:11]([H:27])([H:42])[H:43].[O:1]=[C:10]([C:2]([C:3](=[O:4])[O:5][C:7]([H:34])([H:35])[H:36])([C:8]([C:9]([H:39])([H:40])[H:41])([H:37])[H:38])[H:30])[C:6]([H:31])([H:32])[H:33]>>[At+:12].[C:2]([C:3](=[O:4])[O:5][C:7]([H:34])([H:35])[H:36])([C:8]([C:9]([H:39])([H:40])[H:41])([H:37])[H:38])([C:10]([C:6]([H:31])([H:32])[H:33])([N:11]([H:42])[H:43])[H:28])[H:30].[O:1]([H:27])[H:29],0,0,0,0,0,0,0,0,0,0,0,0
16,CCOC(=O)C(C)C(=O)C,[At:12][H:28].[C:1]([C:2](=[O:3])[O:4][C:6]([C:9]([H:36])([H:37])[H:38])([H:31])[H:32])([C:5](=[O:7])[C:8]([H:33])([H:34])[H:35])([C:10]([H:39])([H:40])[H:41])[H:30].[H+:29].[N:11]([H:27])([H:42])[H:43]>>[At+:12].[C:1]([C:2](=[O:3])[O:4][C:6]([C:9]([H:36])([H:37])[H:38])([H:31])[H:32])([C:5]([C:8]([H:33])([H:34])[H:35])([N:11]([H:42])[H:43])[H:28])([C:10]([H:39])([H:40])[H:41])[H:30].[O:7]([H:27])[H:29],0,0,0,0,0,0,0,0,0,0,0,0
17,CC(=O)CC(=O)OCC1=CC=CC=C1,[At:16][H:32].[H+:33].[N:15]([H:31])([H:46])[H:47].[O:1]([C:4](=[O:6])[C:7]([C:9](=[O:12])[C:13]([H:41])([H:42])[H:43])([H:36])[H:37])[C:14]([c:3]1[c:2]([H:34])[c:11]([H:40])[c:10]([H:39])[c:8]([H:38])[c:5]1[H:35])([H:44])[H:45]>>[At+:16].[O:12]([H:31])[H:33].[O:1]([C:4](=[O:6])[C:7]([C:9]([C:13]([H:41])([H:42])[H:43])([N:15]([H:46])[H:47])[H:32])([H:36])[H:37])[C:14]([c:3]1[c:2]([H:34])[c:11]([H:40])[c:10]([H:39])[c:8]([H:38])[c:5]1[H:35])([H:44])[H:45],0,0,0,0,0,0,0,0,0,0,0,0
