,Substrate,AAM,E-1,E-2,E-3
0,C1=CC=C(C(=C1)C(=O)O)O,[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])[C:26]([H:82])([H:83])[H:84])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:85])[c:35]([H:87])[c:37]([H:89])[c:32]([C:30]([O:29][H:61])=[O:31])[c:33]([O:34][H:86])[c:36]1[H:88]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([O:34][H:86])[c:36]([H:88])[c:28]([H:85])[c:35]([H:87])[c:37]1[H:89])([H:82])([H:83])[H:84].[H+:61].[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1,1,1,1
1,C1=CC=C(C=C1)C(=O)O,[c:1]1([H:61])[n:6][c:7]([N:12]([H:67])[H:68])[c:8]2[n:9][c:11]([H:66])[n:24]([C:22]3([H:79])[C:14]([O:19][H:77])([H:71])[C:21]([O:23][H:80])([H:78])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:62])=[O:4])([N:10]([H:64])[H:65])[H:63])([H:69])[H:70])([H:72])[H:73])[C:26]([H:81])([H:82])[H:83])([H:74])[H:75])([H:76])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:84])[c:34]([H:86])[c:36]([H:88])[c:32]([C:30]([O:29][H:60])=[O:31])[c:33]([H:85])[c:35]1[H:87]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([H:85])[c:35]([H:87])[c:28]([H:84])[c:34]([H:86])[c:36]1[H:88])([H:81])([H:82])[H:83].[H+:60].[c:1]1([H:61])[n:6][c:7]([N:12]([H:67])[H:68])[c:8]2[n:9][c:11]([H:66])[n:24]([C:22]3([H:79])[C:14]([O:19][H:77])([H:71])[C:21]([O:23][H:80])([H:78])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:62])=[O:4])([N:10]([H:64])[H:65])[H:63])([H:69])[H:70])([H:72])[H:73])([H:74])[H:75])([H:76])[O:20]3)[c:25]2[n:27]1,1,0,1
2,C1=CC(=CC(=C1)O)C(=O)O,[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])[C:26]([H:82])([H:83])[H:84])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:85])[c:34]([H:87])[c:37]([H:89])[c:32]([C:30]([O:29][H:61])=[O:31])[c:33]([H:86])[c:35]1[O:36][H:88]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([H:86])[c:35]([O:36][H:88])[c:28]([H:85])[c:34]([H:87])[c:37]1[H:89])([H:82])([H:83])[H:84].[H+:61].[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1,0,0,1
3,C1=CC(=CC=C1C(=O)O)O,[O:28]([c:37]1[c:34]([H:87])[c:36]([H:89])[c:32]([C:30]([O:29][H:61])=[O:31])[c:33]([H:86])[c:35]1[H:88])[H:85].[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])[C:26]([H:82])([H:83])[H:84])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([H:86])[c:35]([H:88])[c:37]([O:28][H:85])[c:34]([H:87])[c:36]1[H:89])([H:82])([H:83])[H:84].[H+:61].[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1,0,0,0
4,C1=CC(=C(C(=C1)O)O)C(=O)O,[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])[C:26]([H:83])([H:84])[H:85])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:86])[c:35]([H:88])[c:38]([H:90])[c:32]([C:30]([O:29][H:62])=[O:31])[c:33]([O:34][H:87])[c:36]1[O:37][H:89]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([O:34][H:87])[c:36]([O:37][H:89])[c:28]([H:86])[c:35]([H:88])[c:38]1[H:90])([H:83])([H:84])[H:85].[H+:62].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1,1,1,1
5,C1=CC(=C(C=C1O)O)C(=O)O,[O:28]([c:38]1[c:35]([H:88])[c:37]([H:90])[c:32]([C:30]([O:29][H:62])=[O:31])[c:33]([O:34][H:87])[c:36]1[H:89])[H:86].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])[C:26]([H:83])([H:84])[H:85])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([O:34][H:87])[c:36]([H:89])[c:38]([O:28][H:86])[c:35]([H:88])[c:37]1[H:90])([H:83])([H:84])[H:85].[H+:62].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1,0,0,0
6,C1=CC(=C(C=C1O)C(=O)O)O,[O:28]([C:29](=[O:30])[c:31]1[c:32]([O:34][H:87])[c:36]([H:89])[c:38]([H:91])[c:33]([O:35][H:88])[c:37]1[H:90])[H:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])[C:26]([H:84])([H:85])[H:86])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:28][C:29](=[O:30])[c:31]1[c:32]([O:34][H:87])[c:36]([H:89])[c:38]([H:91])[c:33]([O:35][H:88])[c:37]1[H:90])([H:84])([H:85])[H:86].[H+:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1,1,1,0
7,C1=CC(=C(C(=C1)O)C(=O)O)O,[O:28]([C:29](=[O:30])[c:31]1[c:32]([O:34][H:88])[c:36]([H:89])[c:38]([H:91])[c:33]([H:87])[c:35]1[O:37][H:90])[H:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])[C:26]([H:84])([H:85])[H:86])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:28][C:29](=[O:30])[c:31]1[c:32]([O:34][H:88])[c:36]([H:89])[c:38]([H:91])[c:33]([H:87])[c:35]1[O:37][H:90])([H:84])([H:85])[H:86].[H+:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1,0,0,0
8,C1=CC(=C(C=C1C(=O)O)O)O,[O:28]([c:38]1[c:34]([H:88])[c:37]([H:90])[c:32]([C:30]([O:29][H:62])=[O:31])[c:33]([H:87])[c:35]1[O:36][H:89])[H:86].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])[C:26]([H:83])([H:84])[H:85])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([H:87])[c:35]([O:36][H:89])[c:38]([O:28][H:86])[c:34]([H:88])[c:37]1[H:90])([H:83])([H:84])[H:85].[H+:62].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1,0,0,0
9,C1=C(C=C(C=C1O)O)C(=O)O,[O:28]([C:29](=[O:30])[c:31]1[c:33]([H:87])[c:35]([O:36][H:89])[c:38]([H:91])[c:32]([O:34][H:88])[c:37]1[H:90])[H:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])[C:26]([H:84])([H:85])[H:86])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:28][C:29](=[O:30])[c:31]1[c:33]([H:87])[c:35]([O:36][H:89])[c:38]([H:91])[c:32]([O:34][H:88])[c:37]1[H:90])([H:84])([H:85])[H:86].[H+:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1,0,0,0
10,C1=CC=C(C=C1)/C=C/C(=O)O,[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])[C:26]([H:83])([H:84])[H:85])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:86])[c:33]([H:88])[c:35]([H:90])[c:38]([H:92])[c:36]([C:34](=[C:32]([C:30]([O:29][H:62])=[O:31])[H:87])[H:89])[c:37]1[H:91]>>[C:26]([O:29][C:30](=[O:31])[C:32](=[C:34]([c:36]1[c:37]([H:91])[c:28]([H:86])[c:33]([H:88])[c:35]([H:90])[c:38]1[H:92])[H:89])[H:87])([H:83])([H:84])[H:85].[H+:62].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1,0,0,0
11,C1=CC=C(C(=C1)/C=C/C(=O)O)O,[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])[C:26]([H:84])([H:85])[H:86])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:87])[c:33]([H:89])[c:36]([H:91])[c:39]([H:93])[c:35]([C:34](=[C:32]([C:30]([O:29][H:63])=[O:31])[H:88])[H:90])[c:37]1[O:38][H:92]>>[C:26]([O:29][C:30](=[O:31])[C:32](=[C:34]([c:35]1[c:37]([O:38][H:92])[c:28]([H:87])[c:33]([H:89])[c:36]([H:91])[c:39]1[H:93])[H:90])[H:88])([H:84])([H:85])[H:86].[H+:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1,0,0,0
12,C1=CC(=CC(=C1)O)/C=C/C(=O)O,[O:28]([c:39]1[c:33]([H:89])[c:36]([H:91])[c:38]([H:93])[c:35]([C:34](=[C:32]([C:30]([O:29][H:63])=[O:31])[H:88])[H:90])[c:37]1[H:92])[H:87].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])[C:26]([H:84])([H:85])[H:86])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:29][C:30](=[O:31])[C:32](=[C:34]([c:35]1[c:37]([H:92])[c:39]([O:28][H:87])[c:33]([H:89])[c:36]([H:91])[c:38]1[H:93])[H:90])[H:88])([H:84])([H:85])[H:86].[H+:63].[c:1]1([H:64])[n:6][c:7]([N:12]([H:70])[H:71])[c:8]2[n:9][c:11]([H:69])[n:24]([C:22]3([H:82])[C:14]([O:19][H:80])([H:74])[C:21]([O:23][H:83])([H:81])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:65])=[O:4])([N:10]([H:67])[H:68])[H:66])([H:72])[H:73])([H:75])[H:76])([H:77])[H:78])([H:79])[O:20]3)[c:25]2[n:27]1,0,0,0
13,C1=CC(=CC=C1/C=C/C(=O)O)O,[O:28]([C:29](=[O:30])[C:32](=[C:34]([c:36]1[c:37]([H:92])[c:39]([H:94])[c:31]([O:33][H:89])[c:35]([H:91])[c:38]1[H:93])[H:90])[H:88])[H:64].[c:1]1([H:65])[n:6][c:7]([N:12]([H:71])[H:72])[c:8]2[n:9][c:11]([H:70])[n:24]([C:22]3([H:83])[C:14]([O:19][H:81])([H:75])[C:21]([O:23][H:84])([H:82])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:66])=[O:4])([N:10]([H:68])[H:69])[H:67])([H:73])[H:74])([H:76])[H:77])[C:26]([H:85])([H:86])[H:87])([H:78])[H:79])([H:80])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:28][C:29](=[O:30])[C:32](=[C:34]([c:36]1[c:37]([H:92])[c:39]([H:94])[c:31]([O:33][H:89])[c:35]([H:91])[c:38]1[H:93])[H:90])[H:88])([H:85])([H:86])[H:87].[H+:64].[c:1]1([H:65])[n:6][c:7]([N:12]([H:71])[H:72])[c:8]2[n:9][c:11]([H:70])[n:24]([C:22]3([H:83])[C:14]([O:19][H:81])([H:75])[C:21]([O:23][H:84])([H:82])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:66])=[O:4])([N:10]([H:68])[H:69])[H:67])([H:73])[H:74])([H:76])[H:77])([H:78])[H:79])([H:80])[O:20]3)[c:25]2[n:27]1,0,0,0
14,COC1=CC=CC=C1C(=O)O,[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])[C:26]([H:83])([H:84])[H:85])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:86])[c:33]([O:34][C:36]([H:88])([H:89])[H:90])[c:32]([C:30]([O:29][H:62])=[O:31])[c:38]([H:92])[c:37]([H:91])[c:35]1[H:87]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([O:34][C:36]([H:88])([H:89])[H:90])[c:28]([H:86])[c:35]([H:87])[c:37]([H:91])[c:38]1[H:92])([H:83])([H:84])[H:85].[H+:62].[c:1]1([H:63])[n:6][c:7]([N:12]([H:69])[H:70])[c:8]2[n:9][c:11]([H:68])[n:24]([C:22]3([H:81])[C:14]([O:19][H:79])([H:73])[C:21]([O:23][H:82])([H:80])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:64])=[O:4])([N:10]([H:66])[H:67])[H:65])([H:71])[H:72])([H:74])[H:75])([H:76])[H:77])([H:78])[O:20]3)[c:25]2[n:27]1,0,0,1
15,C1=CC=C(C(=C1)C(=O)O)N,[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])[C:26]([H:82])([H:83])[H:84])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1.[c:28]1([H:85])[c:35]([H:87])[c:32]([C:30]([O:29][H:61])=[O:31])[c:33]([N:37]([H:89])[H:90])[c:34]([H:86])[c:36]1[H:88]>>[C:26]([O:29][C:30](=[O:31])[c:32]1[c:33]([N:37]([H:89])[H:90])[c:34]([H:86])[c:36]([H:88])[c:28]([H:85])[c:35]1[H:87])([H:82])([H:83])[H:84].[H+:61].[c:1]1([H:62])[n:6][c:7]([N:12]([H:68])[H:69])[c:8]2[n:9][c:11]([H:67])[n:24]([C:22]3([H:80])[C:14]([O:19][H:78])([H:72])[C:21]([O:23][H:81])([H:79])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:63])=[O:4])([N:10]([H:65])[H:66])[H:64])([H:70])[H:71])([H:73])[H:74])([H:75])[H:76])([H:77])[O:20]3)[c:25]2[n:27]1,0,0,1
16,CC/C=C\CC1C(CCC1=O)CC(=O)O,[O:28]([C:29](=[O:30])[C:32]([C:34]1([H:97])[C:31]([H:91])([H:92])[C:41]([H:103])([H:104])[C:38](=[O:40])[C:35]1([C:33]([C:36](=[C:37]([C:39]([C:42]([H:105])([H:106])[H:107])([H:101])[H:102])[H:100])[H:99])([H:95])[H:96])[H:98])([H:93])[H:94])[H:67].[c:1]1([H:68])[n:6][c:7]([N:12]([H:74])[H:75])[c:8]2[n:9][c:11]([H:73])[n:24]([C:22]3([H:86])[C:14]([O:19][H:84])([H:78])[C:21]([O:23][H:87])([H:85])[C:18]([C:17]([S+:16]([C:15]([C:13]([C:5]([C:3]([O:2][H:69])=[O:4])([N:10]([H:71])[H:72])[H:70])([H:76])[H:77])([H:79])[H:80])[C:26]([H:88])([H:89])[H:90])([H:81])[H:82])([H:83])[O:20]3)[c:25]2[n:27]1>>[C:26]([O:28][C:29](=[O:30])[C:32]([C:34]1([H:97])[C:31]([H:91])([H:92])[C:41]([H:103])([H:104])[C:38](=[O:40])[C:35]1([C:33]([C:36](=[C:37]([C:39]([C:42]([H:105])([H:106])[H:107])([H:101])[H:102])[H:100])[H:99])([H:95])[H:96])[H:98])([H:93])[H:94])([H:88])([H:89])[H:90].[H+:67].[c:1]1([H:68])[n:6][c:7]([N:12]([H:74])[H:75])[c:8]2[n:9][c:11]([H:73])[n:24]([C:22]3([H:86])[C:14]([O:19][H:84])([H:78])[C:21]([O:23][H:87])([H:85])[C:18]([C:17]([S:16][C:15]([C:13]([C:5]([C:3]([O:2][H:69])=[O:4])([N:10]([H:71])[H:72])[H:70])([H:76])[H:77])([H:79])[H:80])([H:81])[H:82])([H:83])[O:20]3)[c:25]2[n:27]1,0,0,0
