,Substrate,AAM,E-1
0,CCCCl,[C:1]([C:2]([Cl:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[Cl:4][H:14],0
1,CCCCCl,[C:1]([Cl:3])([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([H:18])[H:19].[O:6]([H:17])[H:27]>>[C:1]([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([O:6][H:27])([H:18])[H:19].[Cl:3][H:17],0
2,CCCCCCCl,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([Cl:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[Cl:4][H:23],1
3,CCCCCCCCl,[C:1]([Cl:3])([C:5]([C:8]([C:2]([C:4]([C:6]([C:7]([H:37])([H:38])[H:39])([H:35])[H:36])([H:31])[H:32])([H:29])[H:30])([H:40])[H:41])([H:33])[H:34])([H:27])[H:28].[O:9]([H:26])[H:42]>>[C:1]([C:5]([C:8]([C:2]([C:4]([C:6]([C:7]([H:37])([H:38])[H:39])([H:35])[H:36])([H:31])[H:32])([H:29])[H:30])([H:40])[H:41])([H:33])[H:34])([O:9][H:42])([H:27])[H:28].[Cl:3][H:26],1
4,CCCCCCCCCl,[C:1]([C:4]([C:6]([C:7]([C:9]([H:44])([H:45])[H:46])([H:40])[H:41])([H:38])[H:39])([H:34])[H:35])([C:8]([C:5]([C:2]([Cl:3])([H:32])[H:33])([H:36])[H:37])([H:42])[H:43])([H:30])[H:31].[O:10]([H:29])[H:47]>>[C:1]([C:4]([C:6]([C:7]([C:9]([H:44])([H:45])[H:46])([H:40])[H:41])([H:38])[H:39])([H:34])[H:35])([C:8]([C:5]([C:2]([O:10][H:47])([H:32])[H:33])([H:36])[H:37])([H:42])[H:43])([H:30])[H:31].[Cl:3][H:29],1
5,CCCBr,[C:1]([C:2]([Br:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[Br:4][H:14].[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16],0
6,CCCCBr,[C:1]([Br:3])([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([H:18])[H:19].[O:6]([H:17])[H:27]>>[Br:3][H:17].[C:1]([C:5]([C:2]([C:4]([H:22])([H:23])[H:24])([H:20])[H:21])([H:25])[H:26])([O:6][H:27])([H:18])[H:19],1
7,CCCCCCBr,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([Br:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[Br:4][H:23].[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25],1
8,CCCI,[C:1]([C:2]([I:4])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[O:5]([H:14])[H:22]>>[C:1]([C:2]([O:5][H:22])([H:17])[H:18])([C:3]([H:19])([H:20])[H:21])([H:15])[H:16].[I:4][H:14],1
9,CCCCCCI,[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([I:4])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[O:8]([H:23])[H:37]>>[C:1]([C:3]([C:6]([C:7]([H:34])([H:35])[H:36])([H:32])[H:33])([H:28])[H:29])([C:5]([C:2]([O:8][H:37])([H:26])[H:27])([H:30])[H:31])([H:24])[H:25].[I:4][H:23],1
10,C(CCl)Cl,[C:1]([C:2]([Cl:4])([H:14])[H:15])([Cl:3])([H:12])[H:13].[O:5]([H:11])[H:16]>>[C:1]([C:2]([O:5][H:16])([H:14])[H:15])([Cl:3])([H:12])[H:13].[Cl:4][H:11],0
11,C(CCCl)Cl,[C:1]([Cl:3])([C:5]([C:2]([Cl:4])([H:17])[H:18])([H:19])[H:20])([H:15])[H:16].[O:6]([H:14])[H:21]>>[C:1]([C:5]([C:2]([Cl:4])([H:17])[H:18])([H:19])[H:20])([O:6][H:21])([H:15])[H:16].[Cl:3][H:14],0
12,C(CCCCCl)Cl,[C:1]([C:3]([C:6]([Cl:7])([H:29])[H:30])([H:25])[H:26])([C:5]([C:2]([Cl:4])([H:23])[H:24])([H:27])[H:28])([H:21])[H:22].[O:8]([H:20])[H:31]>>[C:1]([C:3]([C:6]([Cl:7])([H:29])[H:30])([H:25])[H:26])([C:5]([C:2]([O:8][H:31])([H:23])[H:24])([H:27])[H:28])([H:21])[H:22].[Cl:4][H:20],1
13,C(CBr)Br,[C:1]([C:2]([Br:4])([H:14])[H:15])([Br:3])([H:12])[H:13].[O:5]([H:11])[H:16]>>[Br:4][H:11].[C:1]([C:2]([O:5][H:16])([H:14])[H:15])([Br:3])([H:12])[H:13],0
14,C(CCBr)Br,[C:1]([Br:3])([C:5]([C:2]([Br:4])([H:17])[H:18])([H:19])[H:20])([H:15])[H:16].[O:6]([H:14])[H:21]>>[Br:3][H:14].[C:1]([C:5]([C:2]([Br:4])([H:17])[H:18])([H:19])[H:20])([O:6][H:21])([H:15])[H:16],1
15,C(CCCl)Br,[C:1]([Cl:3])([C:5]([C:2]([Br:4])([H:17])[H:18])([H:19])[H:20])([H:15])[H:16].[O:6]([H:14])[H:21]>>[Br:4][H:14].[C:1]([Cl:3])([C:5]([C:2]([O:6][H:21])([H:17])[H:18])([H:19])[H:20])([H:15])[H:16],1
16,CC(Cl)C,[C:1]([Cl:2])([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[H:15].[O:5]([H:14])[H:22]>>[C:1]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])([O:5][H:22])[H:15].[Cl:2][H:14],0
17,CC(Br)C,[C:1]([Br:2])([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])[H:15].[O:5]([H:14])[H:22]>>[Br:2][H:14].[C:1]([C:3]([H:16])([H:17])[H:18])([C:4]([H:19])([H:20])[H:21])([O:5][H:22])[H:15],0
18,CC(CCl)Cl,[C:1]([Cl:2])([C:4]([H:16])([H:17])[H:18])([C:5]([Cl:3])([H:19])[H:20])[H:15].[O:6]([H:14])[H:21]>>[C:1]([Cl:2])([C:4]([H:16])([H:17])[H:18])([C:5]([O:6][H:21])([H:19])[H:20])[H:15].[Cl:3][H:14],0
19,CC(CCl)Cl,[C:1]([Cl:2])([C:4]([H:16])([H:17])[H:18])([C:5]([Cl:3])([H:19])[H:20])[H:15].[O:6]([H:14])[H:21]>>[C:1]([C:4]([H:16])([H:17])[H:18])([C:5]([Cl:3])([H:19])[H:20])([O:6][H:21])[H:15].[Cl:2][H:14],0
20,CCC(CCl)Cl,[Cl:1][C:5]([C:2]([Cl:3])([C:4]([C:6]([H:23])([H:24])[H:25])([H:19])[H:20])[H:18])([H:21])[H:22].[O:7]([H:17])[H:26]>>[C:2]([Cl:3])([C:4]([C:6]([H:23])([H:24])[H:25])([H:19])[H:20])([C:5]([O:7][H:26])([H:21])[H:22])[H:18].[Cl:1][H:17],0
21,CCC(CCl)Cl,[Cl:1][C:5]([C:2]([Cl:3])([C:4]([C:6]([H:23])([H:24])[H:25])([H:19])[H:20])[H:18])([H:21])[H:22].[O:7]([H:17])[H:26]>>[Cl:1][C:5]([C:2]([C:4]([C:6]([H:23])([H:24])[H:25])([H:19])[H:20])([O:7][H:26])[H:18])([H:21])[H:22].[Cl:3][H:17],0
22,CC(CBr)Br,[C:1]([Br:2])([C:4]([H:16])([H:17])[H:18])([C:5]([Br:3])([H:19])[H:20])[H:15].[O:6]([H:14])[H:21]>>[Br:2][H:14].[C:1]([C:4]([H:16])([H:17])[H:18])([C:5]([Br:3])([H:19])[H:20])([O:6][H:21])[H:15],0
23,CC(CCl)Br,[C:1]([Br:2])([C:4]([H:16])([H:17])[H:18])([C:5]([Cl:3])([H:19])[H:20])[H:15].[O:6]([H:14])[H:21]>>[Br:2][H:14].[C:1]([C:4]([H:16])([H:17])[H:18])([C:5]([Cl:3])([H:19])[H:20])([O:6][H:21])[H:15],0
24,CC(C)CCl,[Cl:1][C:4]([C:2]([C:3]([H:19])([H:20])[H:21])([C:5]([H:24])([H:25])[H:26])[H:18])([H:22])[H:23].[O:6]([H:17])[H:27]>>[C:2]([C:3]([H:19])([H:20])[H:21])([C:4]([O:6][H:27])([H:22])[H:23])([C:5]([H:24])([H:25])[H:26])[H:18].[Cl:1][H:17],0
25,CC(C)CBr,[Br:1][C:4]([C:2]([C:3]([H:19])([H:20])[H:21])([C:5]([H:24])([H:25])[H:26])[H:18])([H:22])[H:23].[O:6]([H:17])[H:27]>>[Br:1][H:17].[C:2]([C:3]([H:19])([H:20])[H:21])([C:4]([O:6][H:27])([H:22])[H:23])([C:5]([H:24])([H:25])[H:26])[H:18],1
26,C(CO)CCl,[C:1]([C:3]([O:2][H:18])([H:19])[H:20])([C:4]([Cl:5])([H:21])[H:22])([H:16])[H:17].[O:6]([H:15])[H:23]>>[C:1]([C:3]([O:2][H:18])([H:19])[H:20])([C:4]([O:6][H:23])([H:21])[H:22])([H:16])[H:17].[Cl:5][H:15],0
27,C(CO)CBr,[C:1]([C:3]([O:2][H:18])([H:19])[H:20])([C:4]([Br:5])([H:21])[H:22])([H:16])[H:17].[O:6]([H:15])[H:23]>>[Br:5][H:15].[C:1]([C:3]([O:2][H:18])([H:19])[H:20])([C:4]([O:6][H:23])([H:21])[H:22])([H:16])[H:17],0
28,C(CCl)OCCCl,[O:1]([C:2]([C:6]([Cl:7])([H:25])[H:26])([H:19])[H:20])[C:5]([C:3]([Cl:4])([H:21])[H:22])([H:23])[H:24].[O:8]([H:18])[H:27]>>[Cl:4][H:18].[O:1]([C:2]([C:6]([Cl:7])([H:25])[H:26])([H:19])[H:20])[C:5]([C:3]([O:8][H:27])([H:21])[H:22])([H:23])[H:24],0
29,C1C(O1)CCl,[C:1]1([C:3]([Cl:5])([H:15])[H:16])([H:14])[O:2][C:4]1([H:17])[H:18].[O:6]([H:13])[H:19]>>[C:1]1([C:3]([O:6][H:19])([H:15])[H:16])([H:14])[O:2][C:4]1([H:17])[H:18].[Cl:5][H:13],0
30,C1CCC(CC1)Cl,[C:1]1([Cl:2])([H:22])[C:4]([H:25])([H:26])[C:7]([H:31])([H:32])[C:3]([H:23])([H:24])[C:5]([H:27])([H:28])[C:6]1([H:29])[H:30].[O:8]([H:21])[H:33]>>[C:1]1([O:8][H:33])([H:22])[C:4]([H:25])([H:26])[C:7]([H:31])([H:32])[C:3]([H:23])([H:24])[C:5]([H:27])([H:28])[C:6]1([H:29])[H:30].[Cl:2][H:21],0
31,C1CCC(CC1)Br,[C:1]1([Br:2])([H:22])[C:4]([H:25])([H:26])[C:7]([H:31])([H:32])[C:3]([H:23])([H:24])[C:5]([H:27])([H:28])[C:6]1([H:29])[H:30].[O:8]([H:21])[H:33]>>[Br:2][H:21].[C:1]1([O:8][H:33])([H:22])[C:4]([H:25])([H:26])[C:7]([H:31])([H:32])[C:3]([H:23])([H:24])[C:5]([H:27])([H:28])[C:6]1([H:29])[H:30],1
32,C(C#N)Cl,[C:1](#[N:2])[C:3]([Cl:4])([H:10])[H:11].[O:5]([H:9])[H:12]>>[C:1](#[N:2])[C:3]([O:5][H:12])([H:10])[H:11].[Cl:4][H:9],0
33,C(CC#N)CCl,[C:1]([C:4]#[N:5])([C:6]([C:2]([Cl:3])([H:18])[H:19])([H:20])[H:21])([H:16])[H:17].[O:7]([H:15])[H:22]>>[C:1]([C:4]#[N:5])([C:6]([C:2]([O:7][H:22])([H:18])[H:19])([H:20])[H:21])([H:16])[H:17].[Cl:3][H:15],0
34,C(CC#N)CBr,[C:1]([C:4]#[N:5])([C:6]([C:2]([Br:3])([H:18])[H:19])([H:20])[H:21])([H:16])[H:17].[O:7]([H:15])[H:22]>>[Br:3][H:15].[C:1]([C:4]#[N:5])([C:6]([C:2]([O:7][H:22])([H:18])[H:19])([H:20])[H:21])([H:16])[H:17],0
35,CC(=C)CCl,[C:1](=[C:4]([C:3]([H:18])([H:19])[H:20])[C:5]([Cl:2])([H:21])[H:22])([H:16])[H:17].[O:6]([H:15])[H:23]>>[C:1](=[C:4]([C:3]([H:18])([H:19])[H:20])[C:5]([O:6][H:23])([H:21])[H:22])([H:16])[H:17].[Cl:2][H:15],0
36,C=CC(CCl)Cl,[C:1](=[C:4]([H:19])[H:20])([C:6]([Cl:2])([C:3]([Cl:5])([H:17])[H:18])[H:21])[H:16].[O:7]([H:15])[H:22]>>[C:1](=[C:4]([H:19])[H:20])([C:6]([Cl:2])([C:3]([O:7][H:22])([H:17])[H:18])[H:21])[H:16].[Cl:5][H:15],0
37,C=CC(CCl)Cl,[C:1](=[C:4]([H:19])[H:20])([C:6]([Cl:2])([C:3]([Cl:5])([H:17])[H:18])[H:21])[H:16].[O:7]([H:15])[H:22]>>[C:1](=[C:4]([H:19])[H:20])([C:6]([C:3]([Cl:5])([H:17])[H:18])([O:7][H:22])[H:21])[H:16].[Cl:2][H:15],0
38,CC=CBr,[C:1]([Br:2])(=[C:4]([C:3]([H:14])([H:15])[H:16])[H:17])[H:13].[O:5]([H:12])[H:18]>>[Br:2][H:12].[C:1](=[C:4]([C:3]([H:14])([H:15])[H:16])[H:17])([O:5][H:18])[H:13],0
39,CC(=C)Br,[Br:1][C:4]([C:2]([H:13])([H:14])[H:15])=[C:3]([H:16])[H:17].[O:5]([H:12])[H:18]>>[Br:1][H:12].[C:2]([C:4](=[C:3]([H:16])[H:17])[O:5][H:18])([H:13])([H:14])[H:15],0
40,C=C(CCl)CCl,[Cl:1][C:5]([C:4](=[C:2]([H:16])[H:17])[C:3]([Cl:6])([H:18])[H:19])([H:20])[H:21].[O:7]([H:15])[H:22]>>[Cl:1][C:5]([C:4](=[C:2]([H:16])[H:17])[C:3]([O:7][H:22])([H:18])[H:19])([H:20])[H:21].[Cl:6][H:15],1
41,C=C(CCl)Cl,[C:1]([C:3](=[C:2]([H:15])[H:16])[Cl:5])([Cl:4])([H:13])[H:14].[O:6]([H:12])[H:17]>>[C:1]([C:3](=[C:2]([H:15])[H:16])[Cl:5])([O:6][H:17])([H:13])[H:14].[Cl:4][H:12],0
42,CC(=CBr)C,[C:1]([Br:2])(=[C:3]([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[H:22])[H:16].[O:6]([H:15])[H:23]>>[Br:2][H:15].[C:1](=[C:3]([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[H:22])([O:6][H:23])[H:16],0
43,C/C=C(/C)\Br,[C:1](=[C:2]([Br:3])[C:5]([H:20])([H:21])[H:22])([C:4]([H:17])([H:18])[H:19])[H:16].[O:6]([H:15])[H:23]>>[Br:3][H:15].[C:1](=[C:2]([C:5]([H:20])([H:21])[H:22])[O:6][H:23])([C:4]([H:17])([H:18])[H:19])[H:16],0
44,C/C=C(/Br)\C,[C:1](=[C:2]([Br:3])[C:5]([H:20])([H:21])[H:22])([C:4]([H:17])([H:18])[H:19])[H:16].[O:6]([H:15])[H:23]>>[Br:3][H:15].[C:1](=[C:2]([C:5]([H:20])([H:21])[H:22])[O:6][H:23])([C:4]([H:17])([H:18])[H:19])[H:16],0
45,CC(=CCCl)C,[C:1](=[C:2]([C:3]([H:20])([H:21])[H:22])[C:4]([H:23])([H:24])[H:25])([C:5]([Cl:6])([H:26])[H:27])[H:19].[O:7]([H:18])[H:28]>>[C:1](=[C:2]([C:3]([H:20])([H:21])[H:22])[C:4]([H:23])([H:24])[H:25])([C:5]([O:7][H:28])([H:26])[H:27])[H:19].[Cl:6][H:18],0
